ID,Species,Source,Sex,Site,Lat,Lon,Date,Observation,BM,SVL,Tail,BP,TP,FLP,HLP,ILL,TestesW,TestesL,TestesM,Follicules,FolliculesM,ClutchM,FolliculeD,FatBody
254,merianae,hunted,female,A,NA,NA,12/20/2008,NA,1.15,39.5,58,21,12.5,6.5,9.5,18.5,NA,NA,NA,43,0.495,NA,0.2075,2.41
255,merianae,hunted,female,A,NA,NA,12/20/2008,NA,1.4,40,69,23,14,7,10,18.5,NA,NA,NA,100,0.65,NA,0.19,15.24
256,merianae,hunted,female,A,NA,NA,12/20/2008,NA,1.4,39,63,23.5,14,6.5,10.5,18.5,NA,NA,NA,57,0.535,NA,0.2675,NA
261,merianae,hunted,female,A,NA,NA,1/7/2009,NA,1.9,40,64,24,16,7.5,12,19,NA,NA,NA,102,0.675,NA,0.3375,27.53
262,merianae,hunted,female,A,NA,NA,1/7/2009,NA,1.5,37.5,33,23,15,7,10.5,17.5,NA,NA,NA,80,0.455,NA,0.3175,28.58
263,merianae,hunted,female,A,NA,NA,1/7/2009,NA,1.4,37.5,65.5,20.5,15,7,11,18.5,NA,NA,NA,67,0.36,NA,0.2725,1.45
268,merianae,hunted,female,A,NA,NA,1/7/2009,NA,0.9,34,60,18,12,6,10,16,NA,NA,NA,54,0.2,NA,0.2,0.89
269,merianae,hunted,female,A,NA,NA,1/7/2009,NA,0.9,31.5,38,19,12.5,6,9.5,14,NA,NA,NA,72,0.23,NA,0.2325,7.48
270,merianae,hunted,female,A,NA,NA,1/7/2009,NA,0.95,38.5,9,22.5,12,6.5,10,18,NA,NA,NA,58,0.195,NA,0.19,1.04
271,merianae,hunted,female,A,NA,NA,1/7/2009,NA,1.1,35,61,19,13,6.5,10,16.5,NA,NA,NA,90,0.34,NA,0.24,3.08
274,merianae,hunted,female,A,NA,NA,1/7/2009,NA,1.1,38,62,19.5,13,6.5,10,17,NA,NA,NA,56,0.225,NA,0.225,1.3
275,merianae,hunted,female,A,NA,NA,1/7/2009,NA,1.5,35.5,58,19.5,13,6,10,16.5,NA,NA,NA,74,0.225,NA,0.22,3.07
276,merianae,hunted,female,A,NA,NA,1/7/2009,NA,1.2,35.5,54,19.5,13,6,9.5,18,NA,NA,NA,79,0.355,NA,0.2625,6.03
